,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
329,2306,MAVHUDZI,Manicaland,Primary,Makoni,P3,-18.769431914119814,31.93669457508359
1206,4250,NEGOMO,Mashonaland Central,Primary,Guruve,P3,-16.514701914119815,30.74701457508359
2446,8364,CHIDZIMAMOTO,Mashonaland West,Primary,Hurungwe,P3,-16.973911914119814,29.34873457508359
1575,6174,RUKUNGUHWE,Mashonaland East,Primary,Murehwa,P3,-17.576561914119814,31.78529457508359
382,2366,CHATINDO BUHERA,Manicaland,Primary,Buhera,P3,-19.226211914119812,31.43124457508359
4147,12540,KENYANDAVU PRIMARY,Matabeleland North,Primary,Lupane,P3,-18.317791914119812,27.965884575083592
2172,7042,KURIMA,Mashonaland East,Primary,Chikomba,P3,-18.735131914119815,30.66114457508359
754,2791,INYATI MINE,Manicaland,Primary,Makoni,P3,-18.231911914119813,32.2425845750836
4099,12492,KAMATIVI,Matabeleland North,Primary,Hwange,P3,-18.309461914119815,27.040674575083592
2010,6698,ST COLUMBUS,Mashonaland East,Primary,Murehwa,P3,-18.004361914119812,31.824464575083592
3350,10688,KURAI PRIMARY,Masvingo,Primary,Gutu,P3,-19.765141914119813,31.81542457508359
611,2645,NEW YEARS GIFT,Manicaland,Primary,Chipinge,P3,-20.086731914119813,32.55338457508359
1112,4143,MUTONDWE,Mashonaland Central,Primary,Mt. Darwin,P3,-16.732791914119815,31.68427457508359
3742,12038,ST MARY,Matabeleland North,Primary,Hwange,P3,-18.367301914119814,26.60915457508359
5603,17936,CHISHUKU,Midlands,Primary,Chirumanzu,P3,-19.301591914119815,30.30961457508359
922,2977,RUJEKO,Manicaland,Primary,Makoni,P2,-18.550481914119814,32.09918457508359
2936,10195,MONDO PRIMARY,Masvingo,Primary,Gutu,P3,-19.470421914119814,31.53682457508359
4015,12407,NGAMO,Matabeleland North,Primary,Tsholotsho,P3,-19.137171914119815,27.44170457508359
2982,10241,DENGA ,Masvingo,Primary,Chivi,P3,-20.158001914119815,30.39867457508359
87,1105,SELBORNE ROUTLEDGE,Harare,Primary,Warren Park Mabelreign,P1,-17.825971914119815,31.01362457508359
4259,12694,MGOQO,Bulawayo,Primary,Mzilikazi,P2,-20.186091914119814,28.478934575083592
928,2983,MARAMBANYIKA,Manicaland,Primary,Buhera,P3,-19.513211914119815,31.96734457508359
3377,10716,CHIGUMISIRWA,Masvingo,Primary,Bikita,P3,-20.080481914119815,31.832354575083592
452,2458,MWANDIAMBIRA,Manicaland,Primary,Mutare,P3,-19.233791914119813,32.4633945750836
4533,14150,MAPATE,Matabeleland South,Primary,Gwanda,P3,-21.589561914119813,28.92757457508359
4964,16100,NHEMA ST FRANCIS,Midlands,Primary,Shurugwi,P3,-19.611131914119813,30.21434457508359
4336,12787,MOLO,Matabeleland North,Primary,Bubi,P3,-19.111531914119812,28.136584575083592
664,2700,MURINDASHAKA,Manicaland,Primary,Makoni,P3,-17.823921914119815,32.47524457508359
3485,10840,BENZI,Masvingo,Primary,Chiredzi,P3,-21.095601914119815,32.0003045750836
4110,12503,MATHENDELE,Matabeleland North,Primary,Nkayi,P3,-19.024391914119814,28.83651457508359
1404,4471,KANONGO,Mashonaland Central,Primary,Mbire,P3,-16.100571914119815,30.55455457508359
1877,6558,MARUMBI,Mashonaland East,Primary,Hwedza,P3,-19.058541914119814,31.84171457508359
4275,12714,NGWALONGWALO ,Bulawayo,Primary,Khami,P2,-20.168441914119814,28.47403457508359
5487,16845,SHUMBASHAVA,Midlands,Primary,Mberengwa,P3,-20.875521914119815,30.18785457508359
4463,14079,NKWALINI,Matabeleland South,Primary,Insiza,P3,-20.466601914119813,29.46925457508359
3648,11037,RATIDZO ZVIDOZVEVANHU,Masvingo,Primary,Chiredzi,P3,-20.940351914119812,31.65351457508359
1869,6550,MTORO,Mashonaland East,Primary,Chikomba,P3,-18.830801914119814,31.06923457508359
5455,16811,SIZANANI,Midlands,Primary,Gokwe South,P3,-18.375401914119813,28.69381457508359
2417,8331,MASHUMA,Mashonaland West,Primary,Hurungwe,P3,-16.924541914119814,29.26418457508359
3855,12231,ZINAPI,Matabeleland North,Primary,Lupane,P3,-18.774631914119812,27.71639457508359
1006,3904,St. Bartholomew Chiware,Manicaland,Primary,Makoni,P3,-18.667671914119815,32.0185945750836
5250,16570,MANYEPA,Midlands,Primary,Gokwe South,P3,-18.160101914119814,28.52361457508359
1921,6605,MARIRA,Mashonaland East,Primary,Mutoko,P3,-17.518901914119812,32.34092457508359
575,2608,CHIKWARIRO,Manicaland,Primary,Mutare,P3,-19.324911914119813,32.26925457508359
3168,10430,ZIKI,Masvingo,Primary,Bikita,P3,-20.227241914119812,31.82851457508359
2541,8488,GATSHE GATSHE,Mashonaland West,Primary,Kariba,P3,-16.784611914119814,28.94553457508359
4292,12732,THETSHANENI ,Matabeleland North,Primary,Tsholotsho,P3,-20.064791914119812,27.83289457508359
2591,8543,CHEDOPE,Mashonaland West,Primary,Hurungwe,P3,-16.990541914119813,29.37820457508359
4377,12829,KOKOLOZA,Matabeleland North,Primary,Binga,P3,-18.196611914119813,27.85063457508359
3788,12093,RIVERSIDE STIMULATION CEN,Bulawayo,Primary,Imbizo,P1,-20.215901914119815,28.64580457508359
2490,8414,ZVIMHONJA,Mashonaland West,Primary,Hurungwe,P3,-17.035531914119815,29.193934575083592
5035,16182,MAHINDI,Midlands,Primary,Mberengwa,P3,-20.597281914119815,30.39183457508359
5606,17940,GOODHOPE,Midlands,Primary,Chirumanzu,P3,-19.362861914119815,30.69068457508359
253,2069,VENGERE ,Manicaland,Primary,Makoni,P3,-18.545331914119814,32.101594575083595
1638,6294,RUPANGE,Mashonaland East,Primary,Murehwa,P3,-17.577111914119815,31.65412457508359
1573,6082,RUFARO,Mashonaland East,Primary,Murehwa,P3,-18.054861914119815,31.967864575083592
3784,12087,NKULUMANE,Bulawayo,Primary,Mzilikazi,P2,-20.144581914119815,28.52532457508359
181,1258,BUDIRIRO  3,Harare,Primary,Glenview Mufakose,P2,-17.901511914119812,30.90931457508359
4532,14149,MNYABETSI,Matabeleland South,Primary,Gwanda,P3,-21.596931914119814,29.07331457508359
3851,12227,LUPANE,Matabeleland North,Primary,Lupane,P3,-18.919321914119813,27.72963457508359
3443,10783,TSHOVANI,Masvingo,Primary,Chiredzi,P2,-21.000421914119812,32.111934575083595
1577,6176,MUSHIPE,Mashonaland East,Primary,Chikomba,P3,-19.011401914119812,31.66545457508359
5077,16387,MAPIRAVANA,Midlands,Primary,Chirumanzu,P3,-19.472861914119814,30.47896457508359
1930,6615,BVUMBURA,Mashonaland East,Primary,Chikomba,P3,-19.146211914119814,31.21323457508359
2920,10179,MAZETESE,Masvingo,Primary,Mwenezi,P3,-21.059321914119813,30.27719457508359
5444,16800,SIMCHEMBU 11,Midlands,Primary,Gokwe North,P3,-17.395981914119815,28.154424575083592
1959,6645,ZHEN JE,Mashonaland East,Primary,Chikomba,P3,-19.069481914119812,31.29827457508359
3737,12031,FAIRBRIDGE ,Bulawayo,Primary,Reigate,P3,-20.161761914119815,28.57273457508359
2853,9077,HURUNGWE  (NYANGAHWE),Mashonaland West,Primary,Hurungwe,P3,-16.472011914119815,29.58077457508359
3584,10964,MAVAMBO,Masvingo,Primary,Mwenezi,P3,-21.014531914119814,30.64136457508359
503,2527,CHIRAMBA,Manicaland,Primary,Chimanimani,P3,-19.569321914119815,32.5910545750836
4788,14492,MASOTSHA,Matabeleland South,Primary,Bulilima,P3,-20.370121914119814,28.30046457508359
4865,14591,SIBUNDILE,Matabeleland South,Primary,Matobo,P3,-20.687841914119815,28.59535457508359
5452,16808,CHEMBA,Midlands,Primary,Gokwe South,P3,-18.485281914119813,28.21976457508359
1470,5142,PANHOWE,Mashonaland Central,Primary,Mazowe,P3,-17.607881914119815,30.85735457508359
1591,6191,NZUMA ST HELEN,Mashonaland East,Primary,Chikomba,P3,-19.011261914119814,31.38909457508359
