label,Índice de crecimiento demográfico
2021,2.0457148779533
2020,2.03111171035477
2019,1.98925274777043
2018,2.02053728777103
2017,2.04361989880383
2016,2.08180572500247
2015,2.13629423811133
2014,2.19139105592343
2013,2.1632674727572
2012,1.82230856245569
2011,1.43833913255502
2010,1.253649854212
2009,1.02626500717403
2008,0.798207023794335
2007,0.969118750298355
2006,0.861222619917424
2005,0.523850608635102
2004,0.701855595519876
2003,0.757960496752579
2002,0.616566778386599
2001,0.642662969955232
2000,1.0039687523875
1999,1.44503967279215
1998,1.62340353192012
1997,1.6346887957256
1996,1.66094598986875
1995,1.23965585440755
1994,0.588137236572384
1993,1.43139224361787
1992,2.50911907765175
1991,2.57603314089831
1990,2.68096013142779
1989,2.85989910448979
1988,3.09106103478758
1987,3.22520201238728
1986,3.31065993334301
1985,3.41711049844264
1984,3.54126507310352
1983,3.80306029541386
1982,3.88450668439283
1981,6.27556552138596
1980,5.75235072552746
1979,1.61279576651755
1978,1.48136979302665
1977,2.58473584299048
1976,3.08941389491283
1975,3.22599830021469
1974,3.28566099542128
1973,3.19922595579394
1972,3.10992169160392
1971,3.03827686095078
1970,3.0987888842536
1969,3.17867436506135
1968,3.15278901346911
1967,3.13576060125967
1966,3.12962767036977
1965,3.1248285390059
1964,3.11987833923854
1963,3.11540831177673
1962,3.10531952061288
1961,3.09486536964925
