,lat,lon,school_index,max_children,q_children
0,-17.82644,31.08971,0,620,620
1,-17.79152,31.05566,1,620,620
2,-17.78811,31.00001,2,620,620
3,-17.87671,31.03505,3,620,620
4,-17.79174,31.03407,4,620,620
5,-17.77002,31.00813,5,620,620
6,-17.81602,31.07381,6,620,620
7,-17.80474,30.92285,7,620,620
8,-17.83321,31.19596,8,620,620
9,-17.85632,31.01185,9,620,620
10,-17.8336,31.19255,10,620,620
11,-17.82522,31.01632,11,620,620
12,-17.8089,31.03773,12,620,620
13,-17.77379,31.0905,13,620,620
14,-17.91313,30.9651,14,620,620
15,-17.8916,30.98931,15,620,620
16,-18.01473,31.09572,16,620,620
17,-17.88971,30.99782,17,620,620
18,-17.85855,31.03135,18,620,620
19,-17.86527,31.02775,19,620,620
20,-17.81221,31.13008,20,620,620
21,-17.81985,31.06197,21,620,620
22,-17.83901,31.18166,22,620,620
23,-18.01737,31.07735,23,620,620
24,-17.80675,30.91952,24,620,620
25,-17.7968,30.93154,25,620,620
26,-17.83616,31.07809,26,620,620
27,-17.85392,31.04073,27,620,620
28,-18.01971,31.08992,28,620,620
29,-17.91163,31.01016,29,620,620
30,-17.80666,30.93146,30,620,620
31,-17.9079,30.96107,31,620,620
32,-17.9146,30.94698,32,620,620
33,-17.90495,30.95153,33,620,620
34,-17.90977,30.94893,34,620,620
35,-17.90885,30.94578,35,620,620
36,-17.89601,30.95114,36,620,620
37,-17.80467,30.92446,37,620,620
38,-17.86351,31.04183,38,620,620
39,-17.86783,30.93395,39,620,620
40,-17.82975,31.12356,40,620,620
41,-17.74477,31.11849,41,620,620
42,-17.77818,31.06332,42,620,620
43,-17.79826,30.98784,43,620,620
44,-17.77529,31.001,44,620,620
45,-17.87835,31.07902,45,620,620
46,-17.87843,31.12726,46,620,620
47,-17.79848,31.08862,47,620,620
48,-17.87971,31.02071,48,620,620
49,-17.87336,30.96566,49,620,620
50,-17.90879,30.98018,50,620,620
51,-17.8981,30.97877,51,620,620
52,-17.85874,30.9667,52,620,620
53,-17.80466,31.05758,53,620,620
54,-17.79336,31.11391,54,620,620
55,-17.86825,30.98861,55,620,620
56,-17.83766,31.02644,56,620,620
57,-17.8415,31.1847,57,620,620
